31.299,19.398,11.202,7.763,4875,16.143,416
39.390,19.398,11.202,7.763,5295,16.143,416
49.254,19.398,11.202,7.763,5370,16.143,416
59.293,19.398,11.202,7.763,5462,16.143,417
68.293,19.398,11.202,7.763,5555,16.143,417
87.376,19.398,11.202,7.763,5639,16.143,417
98.240,19.398,11.202,7.763,5813,16.143,417
111.389,19.398,11.202,7.763,5911,16.143,417
120.846,19.398,11.202,7.763,6028,16.143,417
133.370,19.398,11.202,7.763,6111,16.143,417
152.074,19.398,11.202,8.016,6220,16.143,423
163.341,19.403,11.202,8.016,6379,16.143,423
173.146,19.403,11.202,8.016,6472,16.143,423
182.106,19.403,11.202,8.016,6552,16.143,423
191.552,19.403,11.202,8.016,6623,16.143,423
204.827,19.403,11.202,8.016,6698,16.143,423
213.187,19.403,11.202,8.016,6799,16.143,423
220.255,19.403,11.202,8.016,6862,16.143,423
227.881,19.403,11.202,8.016,6913,16.143,423
235.118,19.403,11.202,8.016,6968,16.143,445
244.207,19.403,11.202,8.016,7019,16.143,445
252.358,19.403,11.202,8.016,7081,16.143,445
260.109,19.403,11.202,8.016,7136,16.143,445
269.149,19.389,11.202,8.016,7187,16.143,445
277.130,19.389,11.202,8.016,7244,16.143,445
285.233,19.389,11.202,8.016,7293,16.143,445
292.159,19.389,11.202,8.016,7342,16.143,445
299.111,19.389,11.202,8.016,7382,16.143,445
307.237,19.389,11.202,8.016,7421,16.143,445
314.249,19.389,11.202,8.016,7466,16.143,445
321.376,19.389,11.202,8.016,7503,16.143,445
332.617,19.389,11.202,8.016,7539,16.143,473
341.881,19.389,11.202,8.016,7594,16.143,473
357.264,19.389,11.202,8.016,7636,16.143,473
366.309,19.394,11.202,8.016,7702,16.143,473
375.146,19.394,11.202,8.016,7738,16.143,473
383.170,19.394,11.202,8.016,7771,16.143,473
390.211,19.394,10.608,8.016,7799,16.143,473
407.426,19.394,10.608,8.016,7822,16.143,473
415.142,19.394,10.608,8.016,7873,16.143,503
424.201,19.394,10.608,8.016,7893,16.143,503
431.183,19.394,10.608,8.016,7915,16.143,503
438.257,19.394,10.608,8.016,7929,16.143,503
445.299,19.394,10.608,8.016,7943,16.143,503
452.097,19.394,10.608,8.016,7955,16.143,503
460.115,19.394,10.608,8.016,7965,16.143,503
467.160,19.394,10.608,8.016,7976,16.143,503
475.487,19.394,10.608,8.016,7983,13.450,503
484.100,19.394,10.608,8.016,7990,13.450,503
492.053,19.394,10.608,8.016,7996,13.450,503
502.078,19.394,10.608,8.016,7999,13.450,532
509.238,19.394,10.608,8.016,7999,13.450,532
516.103,19.394,10.608,8.016,7998,13.450,532
523.231,19.394,10.608,8.016,7996,13.450,532
531.127,19.394,10.608,8.016,7992,13.450,532
538.110,19.394,10.608,8.016,7985,13.450,532
546.227,19.394,10.608,8.016,7978,13.450,532
554.240,19.394,10.608,8.016,7968,13.450,532
562.413,19.389,10.608,8.016,7956,13.450,532
570.331,19.389,10.608,8.016,7942,13.450,532
582.143,19.389,10.608,8.016,7927,13.450,532
592.125,19.389,10.608,8.016,7901,13.450,537
600.011,19.389,10.608,8.016,7875,13.450,537
607.385,19.389,10.608,8.016,7853,13.450,537
616.124,19.389,10.608,8.016,7831,13.450,537
627.144,19.389,10.608,10.262,7803,13.450,537
634.286,19.389,10.608,10.262,7764,13.450,537
643.117,19.389,10.608,10.262,7737,13.450,537
651.207,19.389,10.608,10.262,7702,13.450,537
659.157,19.389,10.608,10.262,7668,13.450,537
666.099,19.394,10.608,10.262,7633,13.450,537
673.146,19.394,10.608,10.262,7602,13.450,537
682.126,19.394,10.608,10.262,7568,13.450,526
689.206,19.394,10.608,10.262,7523,13.450,526
698.100,19.394,10.608,10.262,7486,13.450,526
706.146,19.394,10.608,10.262,7439,13.450,526
719.194,19.394,10.608,10.262,7394,13.450,526
728.383,19.394,10.608,10.262,7318,13.450,526
739.151,19.394,10.608,10.262,7262,13.450,526
749.177,19.394,10.608,10.262,7194,13.450,526
761.439,19.394,10.608,10.262,7128,13.450,526
772.049,19.398,10.608,10.262,7045,13.450,526
787.412,19.398,10.608,10.262,6971,13.450,489
796.430,19.398,10.608,10.262,6860,13.450,489
803.436,19.398,10.608,10.262,6793,13.450,489
812.104,19.398,10.608,10.262,6739,13.450,489
819.236,19.398,10.608,10.262,6672,13.450,489
826.360,19.398,10.608,10.262,6616,13.450,489
835.137,19.398,10.608,10.262,6559,13.450,489
846.660,19.398,10.608,10.262,6488,13.450,489
853.386,19.398,10.608,10.262,6393,13.450,489
860.344,19.398,10.631,10.262,6336,13.450,489
868.169,19.398,10.631,10.262,6277,13.450,418
876.892,19.398,10.631,10.262,6209,13.450,418
886.398,19.398,10.631,10.262,6134,13.450,418
894.627,19.398,10.631,10.262,6051,13.450,418
908.588,19.398,10.631,10.262,5978,13.450,418
918.246,19.398,10.631,10.262,5853,13.450,418
926.714,19.398,10.631,10.262,5765,13.450,418
939.380,19.398,10.631,10.262,5688,13.450,418
952.435,19.398,10.631,10.262,5571,13.450,343
960.255,19.398,10.631,10.262,5450,13.727,343
967.193,19.403,10.631,10.262,5377,13.727,343
980.236,19.403,10.631,10.262,5312,13.727,343
990.184,19.403,10.631,10.262,5190,13.727,343
1000.205,19.403,10.631,10.262,5096,13.727,343
1014.127,19.403,10.631,10.262,5002,13.727,343
1025.339,19.403,10.631,10.262,4870,13.727,343
1033.347,19.403,10.631,10.262,4765,13.727,343
1045.653,19.403,10.631,10.262,4690,13.727,279
1056.318,19.403,10.631,10.262,4575,13.727,279
