T_(ms),Sys_Volts_(V),Comp_P_(mA),Piezo_P_(mA),Piezo_out_(mV),V_dist_(mA),LC_(grams)

14.022,23.353,11.989,7.791,11840,15.275,429
28.106,23.353,12.000,7.791,12320,15.275,425
36.845,23.353,12.000,7.791,12640,15.275,425
56.934,23.353,11.989,8.022,12800,15.033,425
67.974,23.357,11.879,8.066,13280,14.835,425
79.327,23.357,11.879,8.429,13600,14.637,425
90.567,23.357,11.747,8.429,13920,14.516,425
101.917,23.357,11.626,8.484,14240,14.385,425
114.196,23.357,11.582,8.791,14400,13.989,425
124.117,23.353,11.582,9.176,14720,13.824,425
135.023,23.353,11.451,9.176,15040,13.637,425
145.086,23.353,11.451,9.176,15200,13.516,425
157.036,23.353,11.341,9.451,15520,13.418,425
171.158,23.348,11.341,9.451,15680,13.088,425
177.933,23.348,11.242,9.758,16000,12.989,425
184.952,23.348,11.231,9.758,16160,12.824,425
192.027,23.348,11.220,9.758,16320,12.824,425
198.921,23.348,11.220,10.000,16480,12.703,447
205.945,23.348,11.143,10.000,16640,12.637,447
213.831,23.353,11.143,10.000,16800,12.527,447
220.903,23.353,11.132,10.011,16960,12.527,447
229.095,23.353,11.066,10.253,16960,12.396,447
237.973,23.353,11.066,10.253,17120,12.319,447
246.167,23.353,11.066,10.462,17280,12.220,447
255.346,23.353,11.011,10.484,17440,12.121,447
263.168,23.348,11.000,10.484,17600,12.055,447
272.458,23.348,11.000,10.681,17760,11.989,447
280.258,23.348,10.967,10.681,17920,11.923,447
287.941,23.348,10.967,10.703,18080,11.868,483
295.083,23.348,10.967,10.703,18240,11.868,483
305.180,23.348,10.956,10.802,18240,11.824,483
312.224,23.344,10.956,10.802,18400,11.769,483
321.727,23.344,10.956,10.879,18560,11.736,483
329.283,23.344,10.967,10.879,18720,11.714,483
338.454,23.344,10.967,10.879,18720,11.692,483
346.207,23.344,10.967,10.923,18880,11.681,483
354.509,23.344,10.989,10.923,19040,11.659,483
362.838,23.344,10.989,10.923,19040,11.648,483
370.084,23.344,11.022,10.934,19200,11.648,483
376.999,23.344,11.022,10.934,19200,11.626,512
