T_(ms),Sys_Volts_(V),Comp_P_(mA),Piezo_P_(mA),Piezo_out_(mV),V_dist_(mA),LC_(grams)

9.246,19.408,11.206,6.993,3900,16.734,416
271.103,19.408,11.206,7.019,4000,16.734,406
534.159,19.412,11.210,7.019,4000,16.612,400
797.178,19.408,11.210,7.087,4000,16.612,415
1061.538,19.408,11.263,7.078,4000,16.606,417
1325.223,19.408,11.296,7.078,4000,16.606,416
1590.233,19.408,11.296,7.077,4000,16.599,417
1853.530,19.412,11.319,7.077,4000,16.592,415
2121.305,19.421,11.319,7.071,4000,16.592,415
2396.390,19.417,11.341,7.071,4000,16.589,420
2676.801,19.412,11.341,7.073,4000,16.589,423
2944.672,19.417,11.355,7.073,4000,16.586,422
3207.261,19.417,11.371,7.074,4000,16.586,421
3471.582,19.412,11.371,7.073,4000,16.579,423
3733.285,19.408,11.381,7.073,4000,16.579,421
3999.583,19.408,11.381,7.075,4000,16.572,421
4262.474,19.408,11.389,7.075,4000,16.567,419
4528.817,19.408,11.389,7.074,4000,16.567,422
4792.664,19.408,11.395,7.074,4000,16.561,423
5056.507,19.412,11.395,7.077,4000,16.561,410
5322.835,19.412,11.404,7.077,4000,16.560,423
5587.473,19.412,11.409,7.073,4000,16.560,428
5853.483,19.408,11.409,7.068,4000,16.558,422
6112.438,19.412,11.414,7.068,4000,16.558,422
6375.455,19.412,11.414,7.073,4000,16.553,421
6639.436,19.417,11.414,7.073,4000,16.553,418
6900.422,19.421,11.414,7.074,4000,16.549,419
7164.408,19.417,11.415,7.074,4000,16.549,421
7431.252,19.417,11.415,7.070,4000,16.547,420
7696.566,19.412,11.420,7.070,4000,16.544,418
7966.152,19.421,11.424,7.072,4000,16.544,422
8228.599,19.408,11.424,7.074,4000,16.541,420
8493.763,19.403,11.425,7.074,4000,16.541,421
8756.533,19.412,11.425,7.070,4000,16.541,420
9020.573,19.408,11.427,7.070,4000,16.541,420
9285.689,19.408,11.427,7.073,4000,16.540,425
9551.783,19.408,11.428,7.073,4000,16.540,422
9817.595,19.408,11.428,7.072,4000,16.538,422
10078.656,19.408,11.426,7.077,4000,16.538,420
10339.526,19.408,11.428,7.077,0,16.536,424
10602.615,19.394,11.428,8.950,12000,14.068,476
10866.549,19.394,10.451,8.950,12000,14.068,448
11129.656,19.394,10.451,10.558,12000,12.214,451
11391.567,19.394,10.801,10.558,12000,12.214,435
11659.841,19.399,10.801,10.837,12000,11.886,436
11921.721,19.394,11.028,10.837,12000,11.886,420
12186.692,19.394,11.028,11.019,12000,11.700,436
12452.960,19.389,11.177,11.155,12000,11.700,434
12718.811,19.394,11.293,11.155,12000,11.576,450
12979.671,19.394,11.293,11.241,12000,11.576,697
13238.653,19.403,11.369,11.241,12000,11.523,884
13501.794,19.399,11.369,11.301,12000,11.481,962
13766.706,19.394,11.422,11.301,12000,11.481,1082
14030.765,19.394,11.422,11.361,12000,11.410,1193
14295.866,19.389,11.462,11.361,12000,11.410,1283
14565.229,19.394,11.462,11.394,12000,11.371,1374
14824.694,19.394,11.500,11.394,12000,11.371,1453
15089.829,19.394,11.523,11.417,12000,11.365,1522
15354.752,19.394,11.523,11.434,0,11.365,1587
15630.767,19.408,11.537,11.434,4000,11.372,333
15893.592,19.403,11.537,6.652,4000,11.372,393
16166.534,19.412,11.383,6.652,4000,16.258,387
16428.766,19.408,11.383,7.063,4000,16.170,395
16693.865,19.408,11.400,7.063,4000,16.170,344
16971.018,19.408,11.400,7.078,4000,16.210,318
17231.914,19.412,11.414,7.077,4000,16.210,316
17494.057,19.408,11.425,7.077,4000,16.233,317
17755.844,19.408,11.425,7.077,4000,16.233,308
18020.822,19.408,11.437,7.077,4000,16.247,299
18280.000,19.412,11.437,7.071,4000,16.247,299
18540.867,19.408,11.444,7.071,4000,16.260,287
18801.018,19.408,11.444,7.073,4000,16.260,287
19063.971,19.412,11.450,7.073,4000,16.267,291
19326.336,19.408,11.450,7.078,4000,16.267,286
19591.102,19.412,11.458,7.072,4000,16.269,284
19855.031,19.408,11.462,7.072,4000,16.275,290
20118.096,19.408,11.462,7.075,4000,16.275,289
