T_(ms),Sys_Volts_(V),Comp_P_(mA),Piezo_P_(mA),Piezo_out_(mV),V_dist_(mA),LC_(grams)

12.279,21.375,11.181,7.764,4875,16.293,416
26.595,21.375,11.181,7.764,5096,16.293,416
38.494,21.375,11.181,7.764,5208,16.293,416
48.488,21.375,11.181,7.764,5302,16.293,416
59.720,21.375,11.181,7.764,5380,16.293,416
71.672,21.375,11.239,7.764,5468,16.293,418
82.451,21.375,11.099,8.143,5561,16.293,418
97.346,21.375,11.099,8.319,5645,16.293,418
107.299,21.375,11.044,8.319,5761,16.293,418
114.302,21.371,11.044,8.418,5838,16.293,418
122.281,21.371,11.044,8.429,5892,16.293,418
131.468,21.371,11.011,8.429,5954,16.293,418
138.210,21.371,10.978,8.593,6024,16.293,418
147.182,21.371,10.978,8.593,6076,16.293,418
156.221,21.371,10.912,8.637,6145,16.293,427
165.139,21.371,10.912,8.780,6214,16.293,427
173.215,21.371,10.923,8.780,6282,16.293,427
181.265,21.371,10.857,8.780,6343,16.293,427
189.288,21.371,10.857,8.945,6404,16.293,427
197.243,21.371,10.857,8.945,6464,16.293,427
205.333,21.371,10.813,8.945,6523,16.293,427
214.675,21.371,10.802,9.077,6584,16.293,427
231.378,21.371,10.747,9.077,6653,16.293,427
239.280,21.371,10.747,9.220,6776,16.293,427
248.444,21.371,10.747,9.220,6834,16.293,459
260.456,21.371,10.714,9.352,6901,16.293,459
267.484,21.371,10.714,9.352,6988,16.293,459
275.303,21.371,10.659,9.352,7038,16.293,459
283.329,21.371,10.659,9.374,7094,16.293,459
292.458,21.371,10.659,9.505,7151,16.293,459
303.307,21.371,10.604,9.505,7216,16.293,459
312.400,21.371,10.604,9.659,7292,16.293,459
320.363,21.371,10.593,9.659,7355,16.293,459
329.376,21.371,10.593,9.659,7410,16.293,459
338.396,21.371,10.571,9.802,7472,14.752,500
349.974,21.367,10.538,9.802,7533,13.769,500
357.287,21.367,10.538,9.857,7611,13.714,500
365.198,21.367,10.538,9.923,7660,13.648,500
374.163,21.367,10.538,9.923,7712,13.593,500
382.189,21.367,10.495,10.044,7771,13.538,500
389.257,21.367,10.495,10.044,7823,13.538,500
397.194,21.367,10.484,10.044,7869,13.484,500
